iter	Passed	Remaining
0	147	147134
1	148	74218
2	150	49892
3	151	37691
4	152	30374
5	153	25512
6	155	22014
7	156	19389
8	157	17344
9	158	15716
10	160	14390
11	161	13280
12	162	12340
13	163	11539
14	165	10839
15	166	10219
16	167	9669
17	168	9183
18	169	8757
19	170	8373
20	171	8015
21	173	7699
22	174	7406
23	175	7142
24	176	6888
25	177	6653
26	178	6434
27	179	6232
28	180	6039
29	181	5861
30	182	5690
31	182	5531
32	183	5378
33	184	5238
34	185	5104
35	185	4980
36	186	4860
37	187	4753
38	188	4648
39	189	4549
40	190	4453
41	191	4364
42	192	4279
43	193	4201
44	194	4123
45	195	4051
46	196	3977
47	196	3905
48	197	3839
49	199	3795
50	200	3738
51	202	3683
52	203	3631
53	204	3583
54	205	3535
55	206	3488
56	208	3447
57	209	3404
58	210	3365
59	212	3324
60	213	3287
61	214	3247
62	215	3208
63	217	3180
64	218	3141
65	219	3103
66	220	3067
67	221	3030
68	221	2994
69	222	2959
70	223	2924
71	224	2890
72	225	2858
73	226	2828
74	226	2797
75	227	2767
76	228	2738
77	229	2712
78	230	2685
79	231	2662
80	232	2639
81	233	2616
82	234	2588
83	235	2567
84	236	2544
85	237	2527
86	239	2508
87	240	2491
88	241	2472
89	242	2453
90	243	2434
91	245	2419
92	246	2400
93	246	2380
94	247	2359
95	249	2345
96	250	2330
97	251	2316
98	252	2300
99	253	2285
100	254	2269
101	255	2253
102	257	2238
103	258	2223
104	259	2211
105	260	2198
106	261	2184
107	262	2170
108	263	2156
109	264	2143
110	265	2129
111	266	2115
112	267	2102
113	269	2090
114	269	2077
115	270	2064
116	271	2049
117	272	2037
118	273	2026
119	274	2015
120	275	2003
121	276	1990
122	277	1979
123	278	1969
124	279	1958
125	280	1947
126	281	1935
127	282	1924
128	283	1914
129	284	1905
130	285	1895
131	286	1885
132	287	1876
133	289	1867
134	289	1858
135	290	1848
136	291	1839
137	293	1830
138	294	1823
139	295	1814
140	296	1804
141	296	1793
142	298	1786
143	299	1778
144	300	1771
145	301	1763
146	302	1755
147	303	1748
148	304	1740
149	306	1734
150	307	1727
151	308	1719
152	309	1711
153	310	1704
154	311	1696
155	312	1689
156	313	1682
157	314	1675
158	315	1668
159	316	1662
160	317	1652
161	318	1646
162	319	1640
163	320	1635
164	322	1630
165	323	1623
166	324	1617
167	325	1610
168	326	1603
169	327	1597
170	328	1591
171	329	1586
172	330	1579
173	331	1574
174	332	1568
175	333	1562
176	334	1556
177	335	1550
178	336	1544
179	337	1539
180	339	1534
181	340	1529
182	341	1524
183	342	1518
184	343	1513
185	344	1507
186	345	1501
187	346	1496
188	347	1491
189	348	1485
190	349	1480
191	350	1475
192	351	1470
193	352	1466
194	354	1461
195	355	1457
196	356	1452
197	357	1447
198	358	1443
199	359	1439
200	361	1435
201	362	1431
202	363	1426
203	364	1422
204	365	1418
205	366	1413
206	367	1409
207	368	1404
208	369	1400
209	371	1395
210	372	1391
211	373	1388
212	374	1384
213	376	1381
214	377	1377
215	378	1373
216	379	1369
217	380	1364
218	381	1360
219	382	1356
220	383	1352
221	384	1348
222	385	1344
223	386	1340
224	388	1337
225	389	1333
226	390	1330
227	391	1327
228	393	1323
229	394	1320
230	395	1316
231	396	1312
232	397	1308
233	398	1306
234	400	1302
235	401	1299
236	402	1296
237	403	1292
238	405	1290
239	406	1287
240	407	1283
241	408	1280
242	409	1276
243	410	1273
244	412	1269
245	413	1266
246	414	1263
247	415	1260
248	416	1256
249	417	1253
250	418	1249
251	419	1245
252	420	1241
253	421	1237
254	422	1234
255	423	1230
256	424	1226
257	425	1222
258	426	1219
259	427	1216
260	428	1213
261	429	1209
262	430	1206
263	431	1203
264	432	1199
265	433	1196
266	434	1193
267	435	1190
268	436	1187
269	437	1183
270	438	1180
271	439	1177
272	441	1174
273	442	1171
274	443	1168
275	444	1166
276	446	1164
277	447	1161
278	448	1159
279	449	1156
280	451	1154
281	452	1151
282	453	1149
283	454	1147
284	456	1145
285	458	1143
286	459	1140
287	460	1138
288	461	1135
289	462	1132
290	463	1129
291	464	1126
292	465	1123
293	466	1120
294	467	1118
295	468	1115
296	469	1112
297	471	1109
298	472	1106
299	473	1104
300	474	1101
301	475	1099
302	476	1096
303	478	1094
304	479	1091
305	480	1089
306	481	1087
307	482	1084
308	483	1082
309	485	1079
310	486	1077
311	487	1075
312	488	1072
313	489	1070
314	491	1067
315	492	1065
316	493	1062
317	494	1059
318	495	1057
319	496	1055
320	497	1052
321	498	1050
322	499	1047
323	501	1045
324	502	1043
325	503	1040
326	504	1037
327	505	1035
328	506	1033
329	507	1030
330	508	1027
331	509	1025
332	510	1022
333	511	1020
334	512	1017
335	513	1015
336	514	1012
337	516	1010
338	517	1008
339	518	1006
340	519	1004
341	520	1001
342	521	999
343	522	997
344	524	994
345	525	992
346	526	990
347	527	987
348	528	985
349	529	982
350	530	980
351	531	978
352	532	975
353	533	973
354	534	971
355	535	969
356	536	967
357	537	964
358	539	962
359	540	960
360	541	958
361	542	955
362	543	954
363	544	951
364	545	949
365	547	947
366	548	945
367	549	943
368	550	941
369	551	939
370	552	936
371	553	934
372	554	932
373	555	930
374	557	928
375	558	926
376	559	924
377	560	922
378	561	920
379	562	918
380	564	916
381	565	914
382	566	912
383	567	910
384	568	908
385	569	906
386	571	904
387	572	902
388	573	900
389	574	898
390	575	896
391	576	894
392	577	892
393	578	890
394	579	888
395	580	885
396	581	883
397	583	882
398	584	880
399	585	878
400	586	876
401	587	874
402	589	872
403	590	871
404	591	869
405	592	867
406	593	865
407	594	863
408	596	861
409	597	859
410	598	857
411	599	856
412	601	854
413	602	852
414	603	850
415	604	848
416	605	846
417	606	844
418	607	842
419	608	840
420	610	838
421	611	837
422	612	835
423	613	833
424	614	831
425	615	829
426	616	827
427	618	825
428	619	824
429	620	822
430	621	820
431	622	818
432	623	817
433	625	815
434	626	813
435	627	811
436	628	809
437	629	807
438	630	805
439	631	804
440	632	802
441	634	800
442	635	798
443	636	796
444	637	795
445	638	793
446	639	791
447	640	789
448	641	787
449	643	785
450	644	784
451	645	782
452	646	780
453	647	778
454	648	777
455	649	775
456	651	773
457	652	771
458	653	770
459	654	768
460	655	766
461	656	764
462	657	762
463	658	760
464	659	759
465	661	757
466	662	755
467	663	754
468	664	752
469	666	751
470	667	749
471	668	748
472	669	746
473	671	744
474	672	743
475	673	741
476	674	739
477	675	737
478	676	736
479	678	734
480	679	733
481	680	731
482	681	729
483	682	727
484	683	726
485	684	724
486	685	722
487	687	720
488	688	719
489	689	717
490	690	716
491	692	714
492	693	712
493	694	710
494	695	709
495	696	707
496	697	705
497	698	704
498	699	702
499	700	700
500	701	699
501	703	697
502	704	695
503	705	693
504	706	692
505	707	690
506	708	688
507	709	687
508	710	685
509	712	684
510	713	682
511	714	680
512	715	679
513	716	677
514	717	675
515	718	674
516	720	672
517	721	671
518	722	669
519	723	667
520	724	666
521	725	664
522	726	662
523	727	661
524	729	659
525	730	657
526	731	656
527	732	654
528	733	653
529	734	651
530	735	649
531	737	648
532	738	646
533	739	645
534	740	643
535	741	642
536	742	640
537	743	638
538	745	637
539	746	635
540	747	634
541	748	632
542	749	631
543	751	629
544	752	627
545	753	626
546	754	624
547	755	623
548	756	621
549	757	619
550	758	618
551	759	616
552	761	615
553	762	613
554	763	611
555	764	610
556	765	608
557	766	607
558	767	605
559	768	604
560	770	602
561	771	601
562	772	599
563	773	597
564	774	596
565	775	594
566	776	593
567	777	591
568	779	590
569	780	588
570	781	587
571	782	585
572	783	584
573	784	582
574	786	581
575	787	579
576	788	577
577	789	576
578	790	575
579	791	573
580	793	571
581	794	570
582	795	568
583	796	567
584	797	565
585	798	564
586	799	562
587	801	561
588	802	559
589	803	558
590	804	556
591	805	555
592	807	553
593	808	552
594	809	550
595	810	549
596	811	547
597	812	546
598	814	545
599	815	543
600	816	542
601	817	540
602	818	539
603	819	537
604	821	536
605	822	534
606	823	533
607	824	531
608	825	530
609	826	528
610	827	527
611	829	525
612	830	524
613	831	522
614	832	521
615	833	519
616	835	518
617	836	516
618	837	515
619	838	513
620	839	512
621	840	511
622	841	509
623	843	508
624	844	506
625	845	505
626	846	503
627	847	502
628	849	500
629	850	499
630	851	497
631	852	496
632	853	495
633	855	493
634	856	492
635	857	490
636	858	489
637	859	487
638	860	486
639	862	484
640	863	483
641	864	481
642	865	480
643	866	479
644	867	477
645	868	476
646	869	474
647	871	473
648	872	471
649	873	470
650	874	468
651	875	467
652	876	465
653	877	464
654	878	462
655	880	461
656	880	459
657	882	458
658	883	457
659	884	455
660	885	454
661	886	452
662	887	451
663	888	449
664	889	448
665	890	446
666	891	445
667	892	443
668	894	442
669	895	440
670	896	439
671	897	438
672	898	436
673	899	435
674	900	433
675	901	432
676	902	430
677	904	429
678	905	427
679	906	426
680	907	424
681	908	423
682	909	422
683	910	420
684	911	419
685	912	417
686	913	416
687	915	414
688	916	413
689	917	412
690	918	410
691	919	409
692	920	407
693	921	406
694	922	405
695	924	403
696	925	402
697	926	400
698	927	399
699	928	398
700	929	396
701	931	395
702	932	393
703	933	392
704	934	391
705	935	389
706	936	388
707	937	386
708	939	385
709	940	384
710	941	382
711	942	381
712	943	379
713	944	378
714	945	377
715	946	375
716	948	374
717	949	372
718	950	371
719	951	370
720	952	368
721	954	367
722	955	365
723	956	364
724	957	363
725	958	361
726	959	360
727	960	359
728	962	357
729	963	356
730	964	354
731	965	353
732	966	352
733	967	350
